time,pressure
0.0571,11.3677
0.0572,11.37
0.0573,11.3722
0.0574,11.3745
0.0575,11.3767
0.0576,11.379
0.0577,11.3813
0.0578,11.3835
0.0579,11.3858
0.058,11.3881
0.0581,11.3904
0.0582,11.3926
0.0583,11.3949
0.0584,11.3972
0.0585,11.3995
0.0586,11.4018
0.0587,11.404
0.0588,11.4063
0.0589,11.4086
0.059,11.4109
0.0591,11.4132
0.0592,11.4155
0.0593,11.4178
0.0594,11.4201
0.0595,11.4224
0.0596,11.4247
0.0597,11.427
0.0598,11.4293
0.0599,11.4316
0.06,11.4339
0.0601,11.4362
0.0602,11.4385
0.0603,11.4409
0.0604,11.4432
0.0605,11.4455
0.0606,11.4478
0.0607,11.4501
0.0608,11.4525
0.0609,11.4548
0.061,11.4571
0.0611,11.4594
0.0612,11.4618
0.0613,11.4641
0.0614,11.4664
0.0615,11.4688
0.0616,11.4711
0.0617,11.4734
0.0618,11.4758
0.0619,11.4781
0.062,11.4805
0.0621,11.4828
0.0622,11.4852
0.0623,11.4875
0.0624,11.4899
0.0625,11.4922
0.0626,11.4946
0.0627,11.4969
0.0628,11.4993
0.0629,11.5017
0.063,11.504
0.0631,11.5064
0.0632,11.5088
0.0633,11.5111
0.0634,11.5135
0.0635,11.5159
0.0636,11.5183
0.0637,11.5206
0.0638,11.523
0.0639,11.5254
0.064,11.5278
0.0641,11.5302
0.0642,11.5325
0.0643,11.5349
0.0644,11.5373
0.0645,11.5397
0.0646,11.5421
0.0647,11.5445
0.0648,11.5469
0.0649,11.5493
0.065,11.5517
0.0651,11.5541
0.0652,11.5565
0.0653,11.5589
0.0654,11.5613
0.0655,11.5637
0.0656,11.5661
0.0657,11.5685
0.0658,11.571
0.0659,11.5734
0.066,11.5758
0.0661,11.5782
0.0662,11.5806
0.0663,11.583
0.0664,11.5855
0.0665,11.5879
0.0666,11.5903
0.0667,11.5928
0.0668,11.5952
0.0669,11.5976
0.067,11.6001
0.0671,11.6025
0.0672,11.6049
0.0673,11.6074
0.0674,11.6098
0.0675,11.6123
0.0676,11.6147
0.0677,11.6172
0.0678,11.6196
0.0679,11.6221
0.068,11.6245
0.0681,11.627
0.0682,11.6294
0.0683,11.6319
0.0684,11.6344
0.0685,11.6368
0.0686,11.6393
0.0687,11.6417
0.0688,11.6442
0.0689,11.6467
0.069,11.6492
0.0691,11.6516
0.0692,11.6541
0.0693,11.6566
0.0694,11.6591
0.0695,11.6615
0.0696,11.664
0.0697,11.6665
0.0698,11.669
0.0699,11.6715
0.07,11.674
0.0701,11.6765
0.0702,11.679
0.0703,11.6814
0.0704,11.6839
0.0705,11.6864
0.0706,11.6889
0.0707,11.6914
0.0708,11.6939
0.0709,11.6964
0.071,11.699
0.0711,11.7015
0.0712,11.704
0.0713,11.7065
0.0714,11.709
0.0715,11.7115
0.0716,11.714
0.0717,11.7165
0.0718,11.7191
0.0719,11.7216
0.072,11.7241
0.0721,11.7266
0.0722,11.7292
0.0723,11.7317
0.0724,11.7342
0.0725,11.7367
0.0726,11.7393
0.0727,11.7418
0.0728,11.7444
0.0729,11.7469
0.073,11.7494
0.0731,11.752
0.0732,11.7545
0.0733,11.7571
0.0734,11.7596
0.0735,11.7622
0.0736,11.7647
0.0737,11.7673
0.0738,11.7698
0.0739,11.7724
0.074,11.7749
0.0741,11.7775
0.0742,11.78
0.0743,11.7826
0.0744,11.7852
0.0745,11.7877
0.0746,11.7903
0.0747,11.7929
0.0748,11.7954
0.0749,11.798
0.075,11.8006
0.0751,11.8031
0.0752,11.8057
0.0753,11.8083
0.0754,11.8109
0.0755,11.8135
0.0756,11.816
0.0757,11.8186
0.0758,11.8212
0.0759,11.8238
0.076,11.8264
0.0761,11.829
0.0762,11.8316
0.0763,11.8342
0.0764,11.8368
0.0765,11.8393
0.0766,11.8419
0.0767,11.8445
0.0768,11.8471
0.0769,11.8497
0.077,11.8523
0.0771,11.855
0.0772,11.8576
0.0773,11.8602
0.0774,11.8628
0.0775,11.8654
0.0776,11.868
0.0777,11.8706
0.0778,11.8732
0.0779,11.8759
0.078,11.8785
0.0781,11.8811
0.0782,11.8837
0.0783,11.8863
0.0784,11.889
0.0785,11.8916
0.0786,11.8942
0.0787,11.8968
0.0788,11.8995
0.0789,11.9021
0.079,11.9047
0.0791,11.9074
0.0792,11.91
0.0793,11.9126
0.0794,11.9153
0.0795,11.9179
0.0796,11.9206
0.0797,11.9232
0.0798,11.9259
0.0799,11.9285
0.08,11.9311
0.0801,11.9338
0.0802,11.9364
0.0803,11.9391
0.0804,11.9418
0.0805,11.9444
0.0806,11.9471
0.0807,11.9497
0.0808,11.9524
0.0809,11.955
0.081,11.9577
0.0811,11.9604
0.0812,11.963
0.0813,11.9657
0.0814,11.9684
0.0815,11.971
0.0816,11.9737
0.0817,11.9764
0.0818,11.979
0.0819,11.9817
0.082,11.9844
0.0821,11.9871
0.0822,11.9897
0.0823,11.9924
0.0824,11.9951
0.0825,11.9978
0.0826,12.0005
0.0827,12.0031
0.0828,12.0058
0.0829,12.0085
0.083,12.0112
0.0831,12.0139
0.0832,12.0166
0.0833,12.0193
0.0834,12.022
0.0835,12.0247
0.0836,12.0274
0.0837,12.0301
0.0838,12.0328
0.0839,12.0355
0.084,12.0382
0.0841,12.0409
0.0842,12.0436
0.0843,12.0463
0.0844,12.049
0.0845,12.0517
0.0846,12.0544
0.0847,12.0571
0.0848,12.0598
0.0849,12.0625
0.085,12.0652
0.0851,12.0679
0.0852,12.0707
0.0853,12.0734
0.0854,12.0761
0.0855,12.0788
0.0856,12.0815
0.0857,12.0842
0.0858,12.087
0.0859,12.0897
0.086,12.0924
0.0861,12.0951
0.0862,12.0979
0.0863,12.1006
0.0864,12.1033
0.0865,12.106
0.0866,12.1088
0.0867,12.1115
0.0868,12.1142
0.0869,12.117
0.087,12.1197
0.0871,12.1224
0.0872,12.1252
0.0873,12.1279
0.0874,12.1307
0.0875,12.1334
0.0876,12.1361
0.0877,12.1389
0.0878,12.1416
0.0879,12.1444
0.088,12.1471
0.0881,12.1499
0.0882,12.1526
0.0883,12.1554
0.0884,12.1581
0.0885,12.1609
0.0886,12.1636
0.0887,12.1664
0.0888,12.1691
0.0889,12.1719
0.089,12.1746
0.0891,12.1774
0.0892,12.1801
0.0893,12.1829
0.0894,12.1857
0.0895,12.1884
0.0896,12.1912
0.0897,12.1939
0.0898,12.1967
0.0899,12.1995
0.09,12.2022
0.0901,12.205
0.0902,12.2078
0.0903,12.2105
0.0904,12.2133
0.0905,12.2161
0.0906,12.2188
0.0907,12.2216
0.0908,12.2244
0.0909,12.2271
0.091,12.2299
0.0911,12.2327
0.0912,12.2355
0.0913,12.2382
0.0914,12.241
0.0915,12.2438
0.0916,12.2466
0.0917,12.2494
0.0918,12.2521
0.0919,12.2549
0.092,12.2577
0.0921,12.2605
0.0922,12.2633
0.0923,12.2661
0.0924,12.2688
0.0925,12.2716
0.0926,12.2744
